nom,nom_arabe,nom_berbere,type_etablissement,ville,adresse,adresse_arabe,telephone,site_web,note,nombre_avis,statut_ouverture,latitude,longitude,url_google_maps,terme_recherche,photos_count,langues_detectees,date_extraction,horaires_ouverture,avis_recents,services
cabinet de psychiatrie Dr El Bourachedy Zineb,,,Psychiatre,Afourar,"Bureau N2, 517 Bd Tadla, Mohammédia 28830",,+2125233-15397,,"4,9",25,Fermé ⋅ Ouvre à 09:00 lun.,33.6830607,-7.3849522,https://www.google.com/maps/place/cabinet+de+psychiatrie+Dr+El+Bourachedy+Zineb/data=!4m7!3m6!1s0xda7b7925f5e4543:0x99c3841ba3d07ced!8m2!3d33.6830607!4d-7.3849522!16s%2Fg%2F11y7bx5bnj!19sChIJQ0VeX5K3pw0R7XzQoxuEw5k?authuser=0&hl=fr&rclk=1,psychiatre,0,francais,2025-07-06T01:48:07.247967,{},[],[]
loudghiri younes psychologue,,,Psychologue,Afourar,"app 7, Résidence les perles de Bentriaa imm 2, Mohammedia 28830",,+212648-959795,,"5,0",16,Fermé ⋅ Ouvre à 09:00 lun.,33.7180648,-7.3348204,https://www.google.com/maps/place/loudghiri+younes+psychologue/data=!4m7!3m6!1s0xda7b73160fb5109:0x1c4428de01e5785f!8m2!3d33.7180648!4d-7.3348204!16s%2Fg%2F11szc__kxp!19sChIJCVH7YDG3pw0RX3jlAd4oRBw?authuser=0&hl=fr&rclk=1,psychologue,0,francais,2025-07-06T01:48:56.866689,{},[],[]
centre de sante afourer,,,Hôpital,Afourar,"6F69+PFG, Afourer",,,,"3,5",2,Ouvert 24h/24,32.2118137,-6.5313015,https://www.google.com/maps/place/centre+de+sante+afourer/data=!4m7!3m6!1s0xda47da19362da17:0xd991d1f75e2cbe30!8m2!3d32.2118137!4d-6.5313015!16s%2Fg%2F11g72lr9bx!19sChIJF9pik6F9pA0RML4sXvfRkdk?authuser=0&hl=fr&rclk=1,hôpital psychiatrique,2,francais,2025-07-06T01:52:37.017867,{},[],[]
Clinique Psychiatrique la Vallée,,,Service de santé mentale,Afourar,"PalmerieG30, Tamesna",,+212661-500940,,"4,7",398,Ouvert 24h/24,33.8219292,-6.9206045,https://www.google.com/maps/place/Clinique+Psychiatrique+la+Vall%C3%A9e/data=!4m7!3m6!1s0xda70f982ad531e5:0xcc0ffe8457bb9eff!8m2!3d33.8219292!4d-6.9206045!16s%2Fg%2F11srmp14xj!19sChIJ5THVKpgPpw0R_567V4T-D8w?authuser=0&hl=fr&rclk=1,clinique psychiatrique,0,francais,2025-07-06T01:53:30.211836,{},[],[]
Centre Universitaire de Santé Mentale et de Bien-Être l'Eucalyptus,,,Clinique de santé mentale,Afourar,"Douar Al Amamra, Bouskoura",,+212701-071785,https://www.google.com/url?q=https://cpeucalyptus.ma/&opi=79508299&sa=U&ved=0ahUKEwjXq6rPgqeOAxWtVEEAHRR6PGsQ61gIEigO&usg=AOvVaw396BjB3bF4gzO2NBZ8cbS2,"4,3",35,Ouvert ⋅ Ferme à 00:00,33.4812213,-7.6229377,https://www.google.com/maps/place/Centre+Universitaire+de+Sant%C3%A9+Mentale+et+de+Bien-%C3%8Atre+l%27Eucalyptus/data=!4m7!3m6!1s0xda62dc409eb9963:0xd7b0fccf0767996e!8m2!3d33.4812213!4d-7.6229377!16s%2Fg%2F11vc92fc63!19sChIJY5nrCcQtpg0RbplnB8_8sNc?authuser=0&hl=fr&rclk=1,centre santé mentale,0,francais,2025-07-06T01:54:17.864566,{},[],[]
Psychologue Fakhiri,,,Psychologue,Afourar,"Villa N° 11 “Centre Laymoune, Béni Mellal 23000",,+212660-552557,https://www.google.com/url?q=https://psychologuefakhiri.com/&opi=79508299&sa=U&ved=0ahUKEwjFt8yQg6eOAxXTaUEAHcg_FmoQ61gIEigO&usg=AOvVaw3kTg9b0QJ_s7foph0CeQh0,"5,0",3,Fermé ⋅ Ouvre à 09:00 lun.,32.3279731,-6.366917,https://www.google.com/maps/place/Psychologue+Fakhiri/data=!4m7!3m6!1s0xda38722c38da30f:0x601d544e84ac4524!8m2!3d32.3279731!4d-6.366917!16s%2Fg%2F11pcncl197!19sChIJD6ONwyKHow0RJEWshE5UHWA?authuser=0&hl=fr&rclk=1,thérapeute,0,francais,2025-07-06T01:56:36.999403,{},[],[]
"Dr ABOUELFARAJ Hafsa, Psychiatre, طبيب نفسي، Psychothérapeute, Addictologue, sexologue, Psychogériatre",طبيب نفسي،,,Psychiatre,Afourar,"134, Résidence Andalus, 2 mars, Angle avenue 2mars et rue d’Arménie. au dessus de café Andalucia, en face de l'agenceInwi , Casablanca, 20250",,+212701-288528,,"4,5",45,Fermé ⋅ Ouvre à 09:00 lun.,33.5708604,-7.6132236,"https://www.google.com/maps/place/Dr+ABOUELFARAJ+Hafsa,+Psychiatre,+%D8%B7%D8%A8%D9%8A%D8%A8+%D9%86%D9%81%D8%B3%D9%8A%D8%8C+Psychoth%C3%A9rapeute,+Addictologue,+sexologue,+Psychog%C3%A9riatre%E2%80%AD/data=!4m7!3m6!1s0xda7d3f3033d3abb:0x2c096f7717855fc5!8m2!3d33.5708604!4d-7.6132236!16s%2Fg%2F11fb18814c!19sChIJuzo9A_PTpw0RxV-FF3dvCSw?authuser=0&hl=fr&rclk=1",طبيب نفسي,0,arabe|francais,2025-07-06T01:58:57.660288,{},[],[]
CENTRE D'ADDICTOLOGIE مركز طب الإدمان,مركز طب الإدمان,,Centre de santé communautaire,Afourar,"X4G7+4WC, Av. des Forces Armées Royales, Rabat",,+2125377-97988,,"5,0",6,Fermé ⋅ Ouvre à 09:00 lun.,33.9753091,-6.8852426,https://www.google.com/maps/place/CENTRE+D%27ADDICTOLOGIE+%D9%85%D8%B1%D9%83%D8%B2+%D8%B7%D8%A8+%D8%A7%D9%84%D8%A5%D8%AF%D9%85%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0xda76d49cc7087eb:0xd1185ccb6970446b!8m2!3d33.9753091!4d-6.8852426!16s%2Fg%2F11ssf52sx7!19sChIJ64dwzEltpw0Ra0RwactcGNE?authuser=0&hl=fr&rclk=1,مركز علاج الإدمان,13,arabe|francais,2025-07-06T01:59:43.449514,{},[],[]
Cabinet de Psychothérapie Dr. El Kadiri Maha Psychothérapeute,,,Psychiatre,Afourar,"Boulevard Abderrahman Serghini, résidence Rawyia, immeuble A, 3 ème étage Appt 15, Mohammédia",,+2125233-02120,,"3,4",59,Fermé ⋅ Ouvre à 09:00 lun.,33.696902,-7.3897477,https://www.google.com/maps/place/Cabinet+de+Psychoth%C3%A9rapie+Dr.+El+Kadiri+Maha+Psychoth%C3%A9rapeute/data=!4m7!3m6!1s0xda7b73a3ac92cf1:0x2dbbdfaa42eaa7e!8m2!3d33.696902!4d-7.3897477!16s%2Fg%2F11fkr_sysy!19sChIJ8SzJOjq3pw0RfqoupPq92wI?authuser=0&hl=fr&rclk=1,عيادة نفسية,0,francais,2025-07-06T02:01:56.162647,{},[],[]
مركز الأمل للعلاج الأصيل,مركز الأمل للعلاج الأصيل,,Psychothérapeute,Afourar,"F8XF+P33, Fkih Ben Salah",,+212677-833011,https://www.google.com/url?q=http://www.facebook.com/raqikarim&opi=79508299&sa=U&ved=0ahUKEwiXzKLBhKeOAxWrQ6QEHb-_GC8Q61gIEigO&usg=AOvVaw1bc8e_TiLYfpauLssn-QX9,"5,0",1,Fermé ⋅ Ouvre à 08:30,32.499267,-6.6773178,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%A3%D9%85%D9%84+%D9%84%D9%84%D8%B9%D9%84%D8%A7%D8%AC+%D8%A7%D9%84%D8%A3%D8%B5%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0xda46bdc8628b1d1:0x7ae570e628e59bce!8m2!3d32.499267!4d-6.6773178!16s%2Fg%2F11h_vshvx1!19sChIJ0bEohtxrpA0RzpvlKOZw5Xo?authuser=0&hl=fr&rclk=1,مركز الصحة النفسية,0,arabe|francais,2025-07-06T02:02:45.564222,{},[],[]
